,project_id,visitor_id,experiment_id,uid,status,is_mobile,created_at,experiment_name,platform
1043,21,62052,48.0,2IK3UfNQKwaB4NZR9pk1px,complete,1,2023-12-11 14:47:52,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
1049,21,62072,48.0,4jMyQZgVWWFKdV9UH6HRex,complete,1,2023-12-11 14:57:17,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
1056,21,47478,49.0,7hYkWbpMXjil2Rdk4ZhOAy,complete,1,2023-12-05 15:32:39,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1060,21,47497,49.0,0tSEEmaQipPr0lk0sPuhyc,complete,0,2023-12-05 15:34:25,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1061,21,47501,49.0,1bxs5DfMaTAw1GjyafeH8k,complete,1,2023-12-05 15:34:31,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1067,21,47618,49.0,3cMu8HwycEkkI6zCn7Yi2Z,complete,0,2023-12-05 15:44:44,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1071,21,47673,49.0,27wNdqAUIZoEUF4O5zjBOQ,complete,0,2023-12-05 15:49:38,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1080,21,47881,49.0,7rOI4h5km3Yn7o7KrRCNG3,complete,1,2023-12-05 15:59:38,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1088,21,48180,49.0,3rjhzgf2BfDuyF2EYx4bs7,complete,1,2023-12-05 16:30:06,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1090,21,48267,49.0,08Kz4BWhiusZnO95mq5iZR,complete,1,2023-12-05 16:40:32,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1121,21,50275,49.0,3GJtbmR4ISARmPV4shjZI3,complete,0,2023-12-06 00:50:05,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1128,21,50367,49.0,0vg0MsY31OFXq6NJMtwyh9,complete,1,2023-12-06 01:32:09,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1146,21,50565,49.0,173TqqDgJIQ1O8fa9p9Adl,complete,1,2023-12-06 04:14:24,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1150,21,50579,49.0,7vt7UlmowyT7XcAxe7W8cV,complete,1,2023-12-06 04:22:50,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1182,21,50917,49.0,06NekISQy2cPzwsK13tqkT,complete,1,2023-12-06 09:25:21,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1190,21,51193,49.0,1Clbza6hznWGTxoVmLWQ44,complete,0,2023-12-06 11:27:41,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1196,21,51359,49.0,1yhGGHh3W7znlt1Y07VdDh,complete,1,2023-12-06 12:43:54,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1216,21,52229,49.0,6A3hIvH9gS1E8Xsed9WOLf,complete,1,2023-12-06 14:53:47,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1218,21,52277,49.0,2akImBYmdYUVF36bfjWRPX,complete,1,2023-12-06 15:23:32,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1226,21,52331,49.0,5IwUkaVkeTsCP9BnAHgkAK,complete,0,2023-12-06 15:50:41,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
